@relation 'Relase 4 integrated shortened-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R14'

@attribute '\% Profitable Months (IS)' numeric
@attribute '# of profits (IS)' numeric
@attribute '# of trades (IS)' numeric
@attribute '# of losses (IS)' numeric
@attribute 'Annual \% Return (IS)' numeric
@attribute 'CAGR (IS)' numeric
@attribute 'CalmarRatio (IS)' numeric
@attribute 'Avg. \% Profit Per Year (IS)' numeric
@attribute 'Net profit in pips (IS)' numeric
@attribute 'Avg. Yearly Profit In Pips (IS)' numeric
@attribute 'Standard Deviation of Yearly Profit In Pips (IS)' numeric
@attribute 'Count Of Losing Years (IS)' numeric
@attribute 'Coefficient of Variation' numeric
@attribute 'Filters result' {PASSED,FAILED}

@data
45.45,22,32,10,9.93,7.58,0.78,9.93,794.5,99.31,113.87,3,1.146612,PASSED
54.55,21,34,13,9.76,7.48,0.71,9.76,780.8,97.6,153.07,2,1.56834,PASSED
45.45,24,39,15,9.91,7.57,0.77,9.91,793.1,99.14,147.15,3,1.484265,PASSED
54.55,26,39,13,9.66,7.42,1.1,9.66,773.2,96.65,130.57,2,1.350957,PASSED
54.55,20,33,13,9.72,7.45,0.72,9.72,777.3,97.16,116.71,2,1.201214,PASSED
63.64,23,36,13,9.89,7.56,0.87,9.89,791.5,98.94,121.02,1,1.223166,PASSED
54.55,21,32,11,9.96,7.6,0.82,9.95,796.4,99.55,107.13,2,1.076143,PASSED
54.55,18,31,13,8.87,6.94,0.54,8.88,710,88.75,129.59,2,1.460169,PASSED
54.55,18,34,16,4.72,4.09,0.84,4.72,503.6,62.95,89.43,2,1.420651,FAILED
45.45,23,33,10,4.82,4.16,0.87,4.82,514.4,64.3,98.2,3,1.527216,FAILED
54.55,19,35,16,4.86,4.19,0.77,4.86,517.9,64.74,90.58,2,1.399135,FAILED
63.64,25,38,13,7.54,6.08,1.22,7.54,804.6,100.57,121.08,1,1.203938,FAILED
63.64,25,37,12,7.43,6.01,1.2,7.43,792.7,99.09,108.69,1,1.096882,FAILED
54.55,19,34,14,5.88,4.94,1.07,5.88,627.3,78.41,102.74,2,1.310292,FAILED
